100 100 700 380
20 20 60 20 1
60 20 50 10 2
50 10 80 10 3
80 10 100 20 4
100 20 110 30 5
110 30 130 30 6
130 30 150 20 7
150 20 230 20 8
230 20 260 30 9
260 30 310 30 10
310 30 330 40 11
330 40 360 40 12
360 40 360 60 13
360 60 350 70 14
350 70 340 70 15
340 70 350 60 16
340 70 320 60 17
320 60 140 60 18
140 60 150 50 19
140 60 130 40 20
130 40 150 40 21
130 40 130 30 22
140 60 120 70 23
120 70 120 90 24
120 90 110 110 25
110 110 100 120 26
100 120 90 110 27
90 110 90 100 28
80 110 100 90 29
100 90 110 70 30
110 70 110 60 31
110 60 100 70 32
100 70 80 80 33
80 80 70 90 34
70 90 70 100 35
80 110 70 110 36
70 110 20 60 37
20 60 20 50 38
20 50 30 40 39
30 40 50 50 40
50 50 100 50 41
100 50 120 70 42
100 50 100 40 43
100 40 110 30 44
80 50 60 40 45
60 40 50 40 46
50 40 30 30 47
30 30 20 20 48
130 80 120 100 49
120 100 120 120 50
150 90 130 110 51
130 110 130 130 52
140 100 140 120 53
140 120 150 130 54
150 130 170 110 55
160 110 170 100 56
150 130 160 130 57
160 130 180 120 58
180 120 200 130 59
200 130 220 130 60
220 130 210 140 61
230 130 220 140 62
230 130 230 140 63
240 130 240 140 64
240 130 260 130 65
260 130 280 120 66
280 120 290 120 67
290 120 310 140 68
310 140 300 120 69
300 120 300 110 70
300 110 320 90 71
320 90 320 130 72
320 130 310 140 73
320 100 340 110 74
340 110 350 130 75
340 100 350 120 76
340 100 330 90 77
340 90 360 110 78
350 90 370 100 79
360 90 380 80 80
370 80 380 70 81
370 80 360 80 82
360 80 370 60 83
170 90 190 90 84
180 90 180 80 85
180 80 190 70 86
190 70 210 65 87
210 65 220 70 88
220 70 230 80 89
230 80 240 70 90
240 70 250 70 91
250 70 270 80 92
270 80 280 90 93
270 90 290 90 94
230 80 230 90 95
220 90 240 90 96
220 90 220 100 97
240 90 240 100 98
220 100 240 100 99
220 110 225 105 100
220 110 225 115 101
225 105 235 115 102
225 115 235 105 103
235 105 240 110 104
240 110 235 115 105
220 125 215 120 106
230 125 240 120 107
210 150 210 160 108
210 160 220 170 109
230 170 240 150 110
150 110 160 90 111
